nombre,apellido,dni,genero,telefono,matricula,especialidad,passwordHash
Medico,Default,1,F,222222,M-1234,Cardiología,$2a$10$1Y4yW8CHOmbAJQnjUleLB.O7gtckxVp8yh0Ts4iCI9WZY2A8SsIQe
Juan,Vanegas,48456123,M,222223,M-1235,Cardiología,$2a$10$1Y4yW8CHOmbAJQnjUleLB.O7gtckxVp8yh0Ts4iCI9WZY2A8SsIQe
Laura,Gomez,10000003,F,333001,M-2001,Dermatología,$2a$10$1Y4yW8CHOmbAJQnjUleLB.O7gtckxVp8yh0Ts4iCI9WZY2A8SsIQe
Carlos,Fernandez,10000004,M,333002,M-2002,Pediatría,$2a$10$1Y4yW8CHOmbAJQnjUleLB.O7gtckxVp8yh0Ts4iCI9WZY2A8SsIQe
Ana,Martinez,10000005,F,333003,M-2003,Clínica Médica,$2a$10$1Y4yW8CHOmbAJQnjUleLB.O7gtckxVp8yh0Ts4iCI9WZY2A8SsIQe
Pedro,Rodriguez,10000006,M,333004,M-2004,Traumatología,$2a$10$1Y4yW8CHOmbAJQnjUleLB.O7gtckxVp8yh0Ts4iCI9WZY2A8SsIQe
Sofia,Diaz,10000007,F,333005,M-2005,Ginecología,$2a$10$1Y4yW8CHOmbAJQnjUleLB.O7gtckxVp8yh0Ts4iCI9WZY2A8SsIQe
Miguel,Sanchez,10000008,M,333006,M-2006,Cardiología,$2a$10$1Y4yW8CHOmbAJQnjUleLB.O7gtckxVp8yh0Ts4iCI9WZY2A8SsIQe
Lucia,Perez,10000009,F,333007,M-2007,Dermatología,$2a$10$1Y4yW8CHOmbAJQnjUleLB.O7gtckxVp8yh0Ts4iCI9WZY2A8SsIQe
David,Lopez,10000010,M,333008,M-2008,Pediatría,$2a$10$1Y4yW8CHOmbAJQnjUleLB.O7gtckxVp8yh0Ts4iCI9WZY2A8SsIQe
